Supplier_name,Supplier_Id,Part_ID,Material,Length (mm),Width (mm),Height (mm),Thickness (mm),Weight (kg),Complexity,Process,Surface Finish,Quantity,Delivery Time (days)
Supplier1,s1,P001,Steel,200,100.0,50.0,,12.5,Complex,Machining,High,100,30
Supplier1,s1,P002,Aluminum,150,75.0,40.0,3.0,8.0,Simple,Casting,Medium,200,45
Supplier1,s1,P003,Plastic,100,,30.0,2.0,2.5,Simple,Injection,Low,300,25
Supplier1,s1,P004,Steel,250,120.0,60.0,4.0,15.0,Complex,Forging,High,150,40
Supplier1,s1,P005,Copper,300,150.0,,9999.99,18.5,Complex,Casting,Medium,180,35
Supplier2,s2,P006,Steel,180,90.0,45.0,5.0,10.0,Complex,Machining,High,130,28
Supplier2,s2,P007,Aluminum,140,70.0,35.0,3.0,7.5,Simple,Casting,Medium,210,48
Supplier2,s2,P008,Plastic,110,55.0,,,3.0,Simple,Injection,Low,330,22
Supplier2,s2,P009,Steel,220,,55.0,4.0,14.0,Complex,Forging,High,170,38
Supplier2,s2,P010,Aluminum,160,80.0,42.0,3.0,9.0,Simple,Casting,Medium,190,43
Supplier3,s3,P011,Plastic,105,52.0,32.0,2.0,2.8,Simple,Injection,Low,280,26
Supplier3,s3,P012,Copper,310,155.0,75.0,,20.0,Complex,Casting,Medium,160,36
Supplier3,s3,P013,Steel,205,,99999.99,5.0,13.0,Complex,Machining,High,140,32
Supplier3,s3,P014,Plastic,115,57.0,28.0,2.0,3.2,Simple,Injection,Low,310,20
Supplier3,s3,P015,Copper,320,160.0,80.0,7.0,22.0,Complex,Forging,Medium,200,44
Supplier3,s3,P015,Copper,320,160.0,80.0,7.0,22.0,Complex,Forging,Medium,200,44
Supplier3,s3,P011,Plastic,105,52.0,32.0,2.0,2.8,Simple,Injection,Low,280,26
Supplier3,s3,P012,Copper,310,155.0,75.0,,20.0,Complex,Casting,Medium,160,36
Supplier3,s3,P013,Steel,205,,99999.99,5.0,13.0,Complex,Machining,High,140,32
Supplier3,s3,P014,Plastic,115,57.0,28.0,2.0,3.2,Simple,Injection,Low,310,20
Supplier3,s3,P015,Copper,320,160.0,80.0,7.0,22.0,Complex,Forging,Medium,200,44
Supplier3,s3,P015,Copper,320,160.0,80.0,7.0,22.0,Complex,Forging,Medium,200,44
Supplier3,s3,P011,Plastic,105,52.0,32.0,2.0,2.8,Simple,Injection,Low,280,26
Supplier3,s3,P012,Copper,310,155.0,75.0,,20.0,Complex,Casting,Medium,160,36
Supplier3,s3,P013,Steel,205,,99999.99,5.0,13.0,Complex,Machining,High,140,32
Supplier3,s3,P014,Plastic,115,57.0,28.0,2.0,3.2,Simple,Injection,Low,310,20
Supplier3,s3,P015,Copper,320,160.0,80.0,7.0,22.0,Complex,Forging,Medium,200,44
Supplier3,s3,P015,Copper,320,160.0,80.0,7.0,22.0,Complex,Forging,Medium,200,44
